npack,ne,GPU time (ms),GPU GFLOPS
40000,700,209.053,93.7562
1000,750,7.87428,71.4351
2000,750,11.9526,94.1221
3000,750,18.4086,91.6692
4000,750,21.7912,103.252
5000,750,27.198,103.408
6000,750,32.2246,104.734
7000,750,37.0692,106.22
8000,750,47.4334,94.8698
9000,750,53.4011,94.8014
10000,750,53.352,105.432
11000,750,64.9963,95.1977
12000,750,65.9133,102.407
13000,750,71.3744,102.453
14000,750,82.9821,94.9
15000,750,82.6206,102.123
16000,750,94.648,95.0892
17000,750,100.431,95.2142
18000,750,99.6097,101.647
19000,750,111.782,95.61
20000,750,110.537,101.776
21000,750,123.937,95.3102
22000,750,130.758,94.6407
23000,750,127.692,101.318
24000,750,131.691,102.513
25000,750,138.983,101.182
26000,750,144.711,101.063
27000,750,149.881,101.331
28000,750,154.164,102.164
29000,750,161.083,101.268
30000,750,177.014,95.3312
31000,750,183.074,95.2483
32000,750,189.205,95.1347
33000,750,182.541,101.689
34000,750,187.976,101.742
35000,750,195.603,100.65
36000,750,212.057,95.4931
37000,750,217.898,95.5147
38000,750,223.138,95.7927
39000,750,228.559,95.9819
40000,750,223.014,100.891
1000,800,7.30164,87.6515
2000,800,14.2218,90.0024
3000,800,18.7291,102.514
4000,800,24.7388,103.481
5000,800,30.3893,105.3
6000,800,39.311,97.6826
7000,800,42.0206,106.614
8000,800,52.3957,97.718
9000,800,59.6044,96.6372
10000,800,60.459,105.857
11000,800,66.5306,105.816
12000,800,78.5518,97.7699
13000,800,79.8132,104.243
14000,800,91.7143,97.6947
15000,800,98.6713,97.2927
16000,800,97.6484,104.866
17000,800,104.921,103.697
18000,800,118.678,97.0695
19000,800,115.617,105.175
20000,800,123.928,103.286
21000,800,130.207,103.22
22000,800,135.456,103.945
23000,800,141.923,103.718
24000,800,147.884,103.865
25000,800,154.438,103.601
26000,800,170.854,97.3931
27000,800,176.984,97.636
28000,800,172.382,103.955
29000,800,190.994,97.1758
30000,800,196.773,97.5744
31000,800,191.689,103.501
32000,800,197.499,103.697
33000,800,217.538,97.0865
34000,800,211.294,102.984
35000,800,228.689,97.9498
36000,800,222.249,103.667
37000,800,229.531,103.167
38000,800,235.798,103.139
39000,800,255.576,97.6616
40000,800,246.9,103.686
1000,850,7.96143,90.75
2000,850,14.8714,97.1663
3000,850,23.2677,93.1548
4000,850,29.9413,96.5222
5000,850,34.4569,104.841
6000,850,44.2727,97.9159
7000,850,48.1017,105.142
8000,850,54.7261,105.617
9000,850,61.2358,106.188
10000,850,68.4305,105.582
11000,850,75.8509,104.778
12000,850,82.6135,104.946
13000,850,89.8761,104.505
14000,850,97.412,103.837
15000,850,111.116,97.5329
16000,850,111.756,103.44
17000,850,118.183,103.927
18000,850,132.987,97.7914
19000,850,139.897,98.1255
20000,850,139.315,103.722
21000,850,155.497,97.5742
22000,850,162.791,97.6403
23000,850,160.75,103.374
24000,850,167.002,103.831
25000,850,184.188,98.0657
26000,850,180.634,103.995
27000,850,189.256,103.075
28000,850,205.521,98.4328
29000,850,202.33,103.556
30000,850,209.257,103.581
31000,850,228.992,97.809
32000,850,223.787,103.313
33000,850,241.675,98.6552
34000,850,237.731,103.331
35000,850,244.589,103.388
36000,850,265.045,98.1345
37000,850,259.569,102.988
38000,850,266.098,103.176
39000,850,271.273,103.871
40000,850,280.38,103.074
1000,900,9.15112,88.5138
2000,900,17.777,91.1292
3000,900,25.0425,97.0352
4000,900,30.0237,107.915
5000,900,37.1259,109.088
6000,900,44.2343,109.869
7000,900,56.465,100.416
8000,900,64.4072,100.61
9000,900,67.4828,108.027
10000,900,75.5102,107.27
11000,900,89.4033,99.6608
12000,900,91.318,106.441
13000,900,98.0711,107.371
14000,900,107.045,105.937
15000,900,114.254,106.342
16000,900,129.291,100.239
17000,900,137.061,100.466
18000,900,136.941,106.469
19000,900,144.919,106.197
20000,900,152.721,106.076
21000,900,169.946,100.091
22000,900,176.538,100.942
23000,900,185.21,100.589
24000,900,193.442,100.495
25000,900,200.592,100.951
26000,900,197.734,106.507
27000,900,216.138,101.186
28000,900,224.159,101.178
29000,900,232.483,101.04
30000,900,239.616,101.412
31000,900,237.786,105.599
32000,900,245.115,105.746
33000,900,252.208,105.984
34000,900,272.082,101.219
35000,900,280.491,101.073
36000,900,288.216,101.174
37000,900,282.04,106.261
38000,900,303.356,101.465
39000,900,297.167,106.304
40000,900,305.778,105.959
1000,950,9.853,91.5964
2000,950,18.7026,96.5105
3000,950,25.3569,106.776
4000,950,32.8736,109.814
5000,950,40.8339,110.509
6000,950,52.9519,102.263
7000,950,57.1099,110.62
8000,950,65.563,110.123
9000,950,73.9847,109.786
10000,950,83.1863,108.491
11000,950,91.4135,108.6
12000,950,105.751,102.41
13000,950,108.841,107.795
14000,950,117.072,107.925
15000,950,131.912,102.625
16000,950,133.68,108.019
17000,950,149.384,102.705
18000,950,150.405,108.008
19000,950,158.216,108.38
20000,950,166.481,108.421
21000,950,185.264,102.3
22000,950,183.651,108.113
23000,950,192.372,107.903
24000,950,201.386,107.555
25000,950,209.96,107.461
26000,950,228.87,102.525
27000,950,237.893,102.43
28000,950,233.973,108.004
29000,950,254.449,102.859
30000,950,263.808,102.632
31000,950,260.944,107.217
32000,950,268.64,107.504
33000,950,291.188,102.279
34000,950,285.169,107.603
35000,950,307.305,102.789
36000,950,315.1,103.11
37000,950,310.255,107.629
38000,950,334.339,102.576
39000,950,326.557,107.784
40000,950,333.617,108.208
1000,1000,10.5409,94.8684
2000,1000,19.2069,104.129
3000,1000,27.3027,109.879
4000,1000,36.262,110.308
5000,1000,44.9245,111.298
6000,1000,57.9747,103.493
7000,1000,61.5348,113.757
8000,1000,72.4388,110.438
9000,1000,81.5842,110.316
10000,1000,96.6975,103.415
11000,1000,100.147,109.838
12000,1000,115.513,103.884
13000,1000,125.449,103.627
14000,1000,127.273,110
15000,1000,137.779,108.87
16000,1000,146.003,109.586
17000,1000,155.819,109.101
18000,1000,164.885,109.167
19000,1000,173.566,109.468
20000,1000,182.837,109.387
21000,1000,193.126,108.737
22000,1000,201.306,109.286
23000,1000,210.677,109.172
24000,1000,229.773,104.451
25000,1000,240.343,104.018
26000,1000,238.524,109.004
27000,1000,259.957,103.863
28000,1000,267.861,104.532
29000,1000,266.371,108.871
30000,1000,275.367,108.946
31000,1000,297.262,104.285
32000,1000,292.441,109.424
33000,1000,303.253,108.82
34000,1000,312.063,108.952
35000,1000,319.425,109.572
36000,1000,328.911,109.452
37000,1000,339.28,109.055
38000,1000,348.083,109.169
39000,1000,374.466,104.148
40000,1000,383.162,104.395
1000,1050,12.5945,87.5383
2000,1050,21.0081,104.959
3000,1050,32.1439,102.897
4000,1050,43.1521,102.197
5000,1050,49.2585,111.91
6000,1050,63.9088,103.507
7000,1050,70.0346,110.195
8000,1050,85.9775,102.585
9000,1050,90.7585,109.329
10000,1050,107.561,102.5
11000,1050,117.913,102.851
12000,1050,121.447,108.937
13000,1050,138.868,103.21
14000,1050,149.329,103.362
15000,1050,160.687,102.917
16000,1050,162.786,108.363
17000,1050,180.421,103.882
18000,1050,191.196,103.794
19000,1050,201.974,103.714
20000,1050,204.063,108.055
21000,1050,222.99,103.827
22000,1050,232.936,104.127
23000,1050,233.418,108.636
24000,1050,254.114,104.127
25000,1050,255.618,107.827
26000,1050,276.453,103.688
27000,1050,274.016,108.634
28000,1050,284.086,108.664
29000,1050,294.073,108.723
30000,1050,318.047,103.994
31000,1050,328.47,104.051
